manufacturer, release_date, process, model, number_of_comments, socket, core, thread, base_clock, maximum_boost, memory, L3_cache, built_in_graphics, GPU_clock, arithmetic_unit, TDP, MSRP
,,,,,,,,,,,,,,,,
Intel,23.1,10_nm_ESF,i9-14900KF,0,LGA_1700,8+16,16+16,3.2,6,DDR4&DDR5,36,-,-,-,125,574
Intel,23.1,10_nm_ESF,i9-14900K,0,LGA_1700,8+16,16+16,3.2,6,DDR4&DDR5,36,UHD_770,1'650,256,125,599
Intel,23.1,10_nm_ESF,i7-14700KF,0,LGA_1700,8+12,16+12,3.4,5.6,DDR4&DDR5,33,-,-,-,125,394
Intel,23.1,10_nm_ESF,i7-14700K,0,LGA_1700,8+12,16+12,3.4,5.6,DDR4&DDR5,33,UHD_770,1'600,256,125,419
Intel,23.1,10_nm_ESF,i5-14600KF,0,LGA_1700,6+8,12+8,3.5,5.3,DDR4&DDR5,24,-,-,-,125,304
Intel,23.1,10_nm_ESF,i5-14600K,0,LGA_1700,6+8,12+8,3.5,5.3,DDR4&DDR5,24,UHD_770,1'550,256,125,329
AMD,23.07,5_nm,R5_7500F,0,AM5,6,12,3.7,5,DDR5,32,-,-,-,65,179
AMD,23.07,7_nm,R5_5600X3D,1,AM4,6,12,3.3,4.4,DDR4,96,-,-,-,105,229
AMD,23.04,5_nm,R7_7800X3D,143,AM5,8,16,4.2,5,DDR5,96,Radeon,2'200,128,120,449
AMD,23.02,5_nm,R9_7950X3D,55,AM5,16,32,4.2,5.7,DDR5,128,Radeon,2'200,128,120,699
AMD,23.02,5_nm,R9_7900X3D,27,AM5,12,24,4.4,5.6,DDR5,128,Radeon,2'200,128,120,599
AMD,23.01,5_nm,R9_7900,19,AM5,12,24,3.7,5.4,DDR5,64,Radeon,2'200,128,65,429
AMD,23.01,5_nm,R7_7700,10,AM5,8,16,3.8,5.3,DDR5,32,Radeon,2'200,128,65,329
AMD,23.01,5_nm,R5_7600,36,AM5,6,12,3.8,5.1,DDR5,32,Radeon,2'200,128,65,229
Intel,23.01,10_nm_ESF,i9-13900KS,42,LGA_1700,8+16,16+16,3.2,6,DDR4&DDR5,36,UHD_770,1'650,256,125,699
Intel,23.01,10_nm_ESF,i9-13900F,4,LGA_1700,8+16,16+16,2,5.6,DDR4&DDR5,36,-,-,-,65,524
Intel,23.01,10_nm_ESF,i9-13900,3,LGA_1700,8+16,16+16,2,5.6,DDR4&DDR5,36,UHD_770,1'650,256,65,549
Intel,23.01,10_nm_ESF,i7-13700F,4,LGA_1700,8+8,16+8,2.1,5.2,DDR4&DDR5,30,-,-,-,65,359
Intel,23.01,10_nm_ESF,i7-13700,4,LGA_1700,8+8,16+8,2.1,5.2,DDR4&DDR5,30,UHD_770,1'600,256,65,384
Intel,23.01,10_nm_ESF,i5-13500,6,LGA_1700,6+8,12+8,2.5,4.8,DDR4&DDR5,24,UHD_770,1'550,256,65,232
Intel,23.01,10_nm_ESF,i5-13400F,8,LGA_1700,6+4,12+4,2.5,4.6,DDR4&DDR5,20,-,-,-,65,196
