manufacturer, release_date, company, GPU, model_name, number_of_comments, boost_clock, memory, length, base_power, maximum_power, power_supply, core_temperature, noise, 3DMark_TS, driver_version, environment,MSRP
,,,,,,,,,,,,,,,,,
AMD,23.06,ASRock,RX_7600,Phantom_Gaming_RX_7600_OC,0,2'754,8,298,165,165,10,58.0_(25),32.0_(17.1),10'780,23.10.01.16,V_5.1,269
NVIDIA,23.05,INNO3D,RTX_4060_Ti,RTX_4060_Ti_Twin_X2,0,2'535,8,245,160,160,6,65.3_(25),35.8_(17.6),13'317,531.93,V_5.1,499
NVIDIA,23.05,Galaxy,RTX_4060_Ti,GALAX_RTX_4060_Ti_EX_WHITE_OC,0,2'640,8,251,160,180,7,64.4_(25),41.0_(17.6),13'651,531.93,V_5.1,499
NVIDIA,23.05,GIGABYTE,RTX_4060_Ti,RTX_4060_Ti_Gaming_OC,0,2'580,8,280,160,216,6,69.1_(25),41.0_(16.7),13'757,531.93,V_5.1,499
NVIDIA,23.04,GIGABYTE,RTX_4070,RTX_4070_Gaming_OC,0,2'565,12,298,215,320,11,62.6_(25),43.1_(17.6),18'282,531.42,V_5.1,599
NVIDIA,23.04,EMTech,RTX_4070,RTX_4070_GAMINGPRO_Night_Crow_Special_Edition,0,2'475,12,324,200,215,9,56.0_(25),31.1_(17.6),17'818,531.42,V_5.1,599
NVIDIA,23.04,COLORFUL,RTX_4070,iGAME_RTX_4070_Vulcan_OC,0,2'625,12,333,215,250,17,60.1_(25),37.6_(17.6),18'223,531.42,V_5.1,599
NVIDIA,23.04,ASUS,RTX_4070,DUAL_RTX_4070,11,2'475,12,266,200,216,10,68.8_(25),38.0_(17.6),17'644,531.42,V_5.1,599
NVIDIA,23.04,Galaxy,RTX_4070,GALAX_RTX_4070_EX_GAMER_WHITE_OC,7,2'525,12,325,215,215,10,61.6_(25),36.4_(17.6),17'947,531.42,V_5.1,599
NVIDIA,23.04,COLORFUL,RTX_4070,iGAME_RTX_4070_Neptune_OC,12,2'640,12,238,240,270,17,52.2_(25),31.9_(17.6),18'751,531.42,V_5.1,599
NVIDIA,23.04,INNO3D,RTX_4070,RTX_4070_iCHILL_X3,1,2'535,12,330,220,220,13,62.9_(25),33.1_(17.6),18'103,531.42,V_5.1,599
NVIDIA,23.04,GIGABYTE,RTX_4070,RTX_4070_KOREA_EDITION_OC,27,2'565,12,298,215,320,11,64.5_(25),35.4_(17.6),18'380,531.42,V_5.1,599
NVIDIA,23.04,EMTech,RTX_4070,RTX_4070_STORM_X_Dual,1,2'475,12,265,200,200,8,70.5_(25),40.2_(17.6),17'588,531.42,V_5.1,599
NVIDIA,23.04,INNO3D,RTX_4070,RTX_4070_TWIN_X2_OC_WHITE,0,2'505,12,247,200,200,10,67.1_(25),36.4_(17.6),17'870,531.42,V_5.1,599
NVIDIA,23.04,GIGABYTE,RTX_4070,RTX_4070_WINDFORCE_OC,0,2'490,12,261,200,216,10,62.7_(25),34.6_(17.6),17'836,531.42,V_5.1,599
NVIDIA,23.04,GAINWARD,RTX_4070,RTX_4070_Ghost,0,2'475,12,265,200,200,8,69.5_(25),41.7_(17.6),17'455,531.42,V_5.1,599
NVIDIA,23.04,COLORFUL,RTX_4070,RTX_4070_Tomahawk_EX,1,2'475,12,309,200,200,10,64.9_(25),42.7_(17.6),17'962,531.42,V_5.1,599
AMD,23.04,ASRock,RX_7900_XTX,RX_7900_XTX_AQUA_OC,2,2'680,24,275,355,355,20,49.0_(25),20.4_(17.6),31'311,23.2.1,V_5.1,999
NVIDIA,23.04,ASUS,RTX_4070,TUF_Gaming_RTX_4070_O12G_OC,1,2'550,12,299,200,216,12,63.6_(25),35.0_(17.6),18'025,531.42,V_5.1,599
NVIDIA,23.04,PNY,RTX_4070,XLR8_RTX_4070_VERTO_EPIC-X_RGB_TF,0,2'475,12,300,200,200,10,66.9_(25),24.3_(17.6),17'500,531.42,V_5.1,599
NVIDIA,23.03,ASUS,RTX_3060,DUAL_RTX_3060_OC_WHITE,0,1'837,8,199,170,187,8,69.5_(25),37.5_(15.7),7'270,528.49,V_5.1,329
NVIDIA,23.03,ASUS,RTX_4080,ROG_STRIX_RTX_4080_O16G_GAMING_OC_White,1,2'625,16,357,360,420,21,65.6_(25),41.4_(17.6),28'098,528.02,V_5.1,1199
NVIDIA,23.02,Galaxy,RTX_3050,GALAX_RTX_3050_EX_WHITE_OC,3,1'822,8,211,115,115,5,62.2_(25),49.8_(17.6),16'378,528.49,V_5.2,249
NVIDIA,23.02,Galaxy,RTX_4070_Ti,GALAX_RTX_4070_Ti_EX_GAMER_OC,0,2'670,12,323,285,330,13,67.7_(24),43.2_(17.6),22'459,528.49,V_5.2,799
NVIDIA,23.02,Galaxy,RTX_4090,GALAX_RTX_4090_SG_WHITE_OC_V2,1,2'580,24,335,450,510,22,69.8_(25),38.9_(15.7),36'382,528.49,V_5.2,1599
NVIDIA,23.02,COLORFUL,RTX_3060_Ti,iGAME_RTX_3060_Ti_Ultra_OC_8GB_White_V2,4,1'770,8,298,265,290,12,71.2_(25),46.5_(17.7),12'619,528.49,V_5.2,399
NVIDIA,23.02,COLORFUL,RTX_4070_Ti,iGAME_RTX_4070_Ti_Ultra_OC_12GB_White,2,2'745,12,324,285,330,16,68.3_(25),44.7_(17.6),22'801,528.02,V_5.2,799
NVIDIA,23.02,EMTech,RTX_4070_Ti,RTX_4070_Ti_GAMEROCK,0,2'610,12,325,285,300,14,69.0_(25),41.7_(15.7),22'559,528.49,V_5.2,799
NVIDIA,23.02,GAINWARD,RTX_4070_Ti,RTX_4070_Ti_Phoenix,0,2'610,12,324,285,285,11,66.5_(24),37.4_(17.6),22'762,527.62,V_5.0,799
NVIDIA,23.02,EMTech,RTX_4080,RTX_4080_GAMINGPRO_OC,1,2'610,16,328,320,320,15,67.8_(24),36.1_(15.8),27'999,531.18,V_5.3,1199
NVIDIA,23.02,GIGABYTE,RTX_4090,RTX_4090_AERO_OC_D6X,6,2'535,24,340,450,600,24,71.0_(25),43.7_(17.7),36'678,528.49,V_5.1,1599
