Release_date, company, model, number_of_comments, maximum_output, 80PLUS, modulator, form_factor, cooling_fan, bearing, guarantee, efficiency(20%), efficiency(50%), efficiency(100%), voltage_drop, maximum_RPM, environment,MSRP
,,,,,,,,,,,,,,,,,
23.1,Seasonic,VERTEX_PX,0,1200,PLATINUM,Full_Modular,ATX_3.0(160),135mm,FDB,10Year,92.21,93.11,90.12,5/5,1'142,V_1.1,330
23.1,FSP,HYDRO_PTM_X_PRO_White,0,1000,PLATINUM,Full_Modular,ATX_3.0(130),120mm,FDB,10Year,93.41,93.39,90.01,4/5,1'701,V_1.1,260
23.09,Micronics_,ASTRO_II_PT,0,850,PLATINUM,Full_Modular,ATX_3.0(140),120mm,FDB,10Year,91.16,92.77,90.9,4/5,1'408,V_1.1,170
23.09,Seasonic,NEW_FOCUS_GX,0,850,GOLD,Full_Modular,ATX_3.0(140),135mm,FDB,10Year,91.23,92.01,89.17,4/5,1'267,V_1.1,140
23.09,Seasonic,NEW_FOCUS_GX,0,1000,GOLD,Full_Modular,ATX_3.0(140),135mm,FDB,10Year,91.56,92.14,88.97,4/5,1'318,V_1.1,170
23.09,Micronics,ASTRO_II_PT,0,1000,PLATINUM,Full_Modular,ATX_3.0(140),120mm,FDB,10Year,91.72,93.24,90.79,4/5,1'590,V_1.1,200
23.07,NEWZEN,SKULL_750SM,0,750,GOLD,Semi_Modular,ATX_3.0(140),120mm,HDB,10Year,90.59,92.18,89.74,4/5,1'640,V_1.1,80
23.07,ABKO,GX850,0,850,GOLD,Full_Modular,ATX_3.0(140),120mm,FDB,10Year,90.28,92.42,90.64,5/5,1'564,V_1.1,150
23.07,NEWZEN,SKULL_850SM,0,850,GOLD,Semi_Modular,ATX_3.0(140),120mm,HDB,10Year,92.09,92.64,89.8,3/5,1'467,V_1.1,90
23.07,GIGABYTE,UD1300GM,0,1300,GOLD,Full_Modular,ATX_3.0(160),140mm,DBB,10Year,92.39,93.15,90.46,5/5,1'492,V_1.1,270
23.07,darkFlash,UPMOST,0,1050,GOLD,Full_Modular,ATX_3.0(140),120mm,FDB,10Year,90.78,92.86,90.79,5/5,1'714,V_1.1,130
23.06,DEEPCOOL,PX1200G,0,1200,GOLD,Full_Modular,ATX_3.0(160),135mm,FDB,10Year,91.28,93.09,90.08,3/5,1'788,V_1.1,170
23.06,SuperFlower,LEADEX_VII_GOLD_WHITE,0,1300,GOLD,Full_Modular,ATX_3.0(150),140mm,FDB,10Year,93.4,93.14,90.07,3/5,1'341,V_1.1,250
23.06,Zalman,TeraMax_II,0,1000,GOLD,Full_Modular,ATX_3.0(140),120mm,FDB,10Year,91.26,92.95,91.58,5/5,1'374,V_1.1,150
23.06,NEWZEN,SKULL_1000XM,0,1000,GOLD,Full_Modular,ATX_3.0(150),135mm,FDB,10Year,91.62,92.27,88.97,4/5,1'333,V_1.1,160
23.05,SuperFlower,LEADEX_VII_GOLD_WHITE,0,850,GOLD,Full_Modular,ATX_3.0(150),140mm,FDB,10Year,92.43,93.36,91.4,4/5,853,V_1.1,130
23.05,SuperFlower,LEADEX_VII_GOLD,0,850,GOLD,Full_Modular,ATX_3.0(150),140mm,FDB,10Year,92.48,93.38,91.51,4/5,851,V_1.1,160
