release_date, company, model, number_of_comments, capacity, NAND, interface, form_factor, DRAM, read_performance, write_performance, 4K_read, 4K_write, persistent_write, maximum_temperature, environment,MSRP
,,,,,,,,,,,,,,,,
23.11,Micron,Crucial_T500,0,2TB,TLC(232),PCIe_4.0(x4),M.2_2280,1024,7'112.8,6'545.1,95.43,372.1,1/5,70,V_2.2,170
23.1,HIKSEMI,FUTURE,0,2TB,TLC(232),PCIe_4.0(x4),M.2_2280,-,7'119.2,6'646.2,95.51,397.6,2/5,47,V_2.2,120
23.09,KLEVV,CRAS_C910_Lite,0,2TB,TLC(176),PCIe_4.0(x4),M.2_2280,-,5'047.7,4'322.4,61.85,357.67,1/5,73,V_2.2,120
23.08,Micron,Crucal_X9_Pro,0,1TB,-,USB_3.2_Gen2,Exterior_Type,-,1'063.3,956.1,28.2,80.059,5/5,43,V_2.2,80
23.08,Micron,Crucal_X10_Pro,0,1TB,-,USB_3.2_Gen2x2,Exterior_Type,-,2'033.9,1'411.0,31.68,80.83,4/5,47,V_2.2,170
23.06,Micron,Crucial_P5_Plus_Heatsink,0,1TB,TLC(172),PCIe_4.0(x4),M.2_2280,1024,6'761.5,5'103.3,76.82,279.57,1/5,56,V_2.2,150
23.05,GeIL,Zenith_P4L,0,1TB,TLC(128),PCIe_4.0(x4),M.2_2280,-,5'130.9,4'673.9,83.58,286.79,1/5,79,V_2.2,60
23.05,SKHynix,Beetle_X31,3,1TB,TLC,USB_3.2_Gen2,Exterior_Type,1024,1'059.5,1'032.7,40.83,74.23,3/5,44,V_2.2,100
23.04,GIGABYTE,AORUS_Gen4_7300,0,2TB,TLC(176),PCIe_4.0(x4),M.2_2280,2048,7'025.8,6'978.3,93.39,416.15,3/5,66,V_2.2,130
23.02,TeamGroup,MP44L_Seoulin,1,1TB,TLC(176),PCIe_4.0(x4),M.2_2280,-,5'041.6,4'906.3,87.08,437.41,3/5,50,V_2.2,40
23.02,Micron,2400,1,512GB,QLC(176),PCIe_4.0(x4),M.2_2280,-,4'314.4,1'834.9,82.62,338.31,1/5,81,V_2.2,40
23.01,Seagate,New_Firecuda_520,5,2TB,TLC(176),PCIe_4.0(x4),M.2_2280,-,4'949.4,4'780.5,90.23,434.01,4/5,48,V_2.2,120
